iter	Passed	Remaining
399	50430	75646
400	50538	75493
401	50705	75427
402	50827	75294
403	50974	75199
404	51106	75082
405	51275	75018
406	51403	74894
407	51518	74752
408	51626	74598
409	51740	74456
410	51881	74351
411	52007	74224
412	52114	74070
413	52231	73931
414	52343	73784
415	52491	73690
416	52606	73548
417	52762	73464
418	52875	73319
419	53008	73201
420	53135	73077
421	53261	72950
422	53355	72780
423	53514	72698
424	53619	72543
425	53765	72444
426	53857	72272
427	54009	72180
428	54124	72040
429	54228	71884
430	54334	71732
431	54464	71610
432	54577	71467
433	54722	71366
434	54817	71199
435	54981	71123
436	55095	70980
437	55205	70835
438	55359	70743
439	55479	70609
440	55581	70453
441	55711	70332
442	55853	70226
443	55996	70122
444	56111	69981
445	56228	69843
446	56326	69683
447	56446	69549
448	56555	69403
449	56703	69304
450	56831	69180
451	56973	69073
452	57126	68980
453	57243	68843
454	57350	68694
455	57470	68560
456	57586	68423
457	57723	68309
458	57830	68161
459	57973	68056
460	58086	67914
461	58215	67792
462	58325	67647
463	58467	67539
464	58590	67410
465	58732	67302
466	58829	67143
467	58973	67037
468	59061	66869
469	59203	66761
470	59320	66625
471	59448	66501
472	59565	66365
473	59708	66258
474	59823	66120
475	59933	65977
476	60078	65872
477	60231	65776
478	60340	65631
479	60517	65560
480	60614	65403
481	60732	65268
482	60842	65125
483	60963	64994
484	61099	64879
485	61250	64779
486	61379	64656
487	61536	64562
488	61655	64428
489	61800	64323
490	61925	64195
491	62048	64066
492	62167	63932
493	62309	63823
494	62428	63690
495	62575	63584
496	62692	63449
497	62809	63313
498	62922	63174
499	63086	63086
500	63193	62940
501	63318	62814
502	63437	62681
503	63609	62600
504	63714	62453
505	63835	62321
506	63928	62163
507	64057	62039
508	64164	61895
509	64302	61780
510	64413	61640
511	64548	61522
512	64691	61412
513	64796	61267
514	64906	61125
515	65032	60999
516	65131	60848
517	65279	60742
518	65410	60621
519	65531	60490
520	65681	60386
521	65819	60271
522	65942	60142
523	66064	60013
524	66173	59871
525	66296	59742
526	66401	59597
527	66539	59482
528	66655	59347
529	66792	59230
530	66903	59092
531	67047	58981
532	67159	58842
533	67286	58718
534	67397	58579
535	67561	58485
536	67697	58368
537	67837	58254
538	67950	58117
539	68071	57987
540	68210	57871
541	68344	57752
542	68451	57610
543	68607	57509
544	68734	57384
545	68863	57260
546	68981	57127
547	69110	57003
548	69205	56851
549	69321	56717
550	69437	56583
551	69589	56478
552	69734	56367
553	69828	56215
554	69936	56075
555	70049	55939
556	70175	55812
557	70292	55679
558	70420	55555
559	70517	55406
560	70700	55325
561	70818	55193
562	70978	55093
563	71087	54954
564	71229	54840
565	71331	54695
566	71502	54604
567	71635	54483
568	71765	54360
569	71875	54221
570	72004	54098
571	72135	53975
572	72291	53871
573	72416	53744
574	72563	53634
575	72690	53508
576	72806	53374
577	72897	53222
578	73020	53094
579	73127	52954
580	73266	52837
581	73372	52697
582	73497	52570
583	73625	52445
584	73744	52314
585	73859	52180
586	74039	52092
587	74143	51950
588	74264	51821
589	74405	51705
590	74563	51601
591	74671	51462
592	74828	51358
593	74951	51229
594	75096	51116
595	75214	50984
596	75372	50879
597	75514	50763
598	75641	50638
599	75798	50532
600	75930	50410
601	76042	50273
602	76149	50134
603	76294	50020
604	76423	49896
605	76550	49770
606	76683	49648
607	76821	49529
608	76942	49399
609	77099	49293
610	77223	49165
611	77361	49045
612	77477	48913
613	77625	48800
614	77738	48665
615	77870	48542
616	77990	48412
617	78144	48303
618	78272	48177
619	78400	48051
620	78505	47912
621	78653	47799
622	78768	47665
623	78872	47525
624	79004	47402
625	79146	47285
626	79266	47155
627	79411	47039
628	79545	46917
629	79667	46789
630	79735	46628
631	79867	46505
632	79977	46369
633	80147	46268
634	80264	46136
635	80390	46009
636	80511	45880
637	80651	45761
638	80761	45626
639	80910	45512
640	81037	45386
641	81189	45273
642	81309	45143
643	81445	45022
644	81539	44878
645	81680	44760
646	81785	44621
647	81936	44508
648	82041	44370
649	82185	44253
650	82316	44129
651	82482	44024
652	82588	43886
653	82713	43759
654	82844	43635
655	82976	43512
656	83111	43389
657	83223	43256
658	83370	43140
659	83519	43025
660	83651	42901
661	83769	42770
662	83887	42639
663	84018	42515
664	84143	42388
665	84240	42246
666	84376	42125
667	84516	42005
668	84668	41891
669	84783	41758
670	84931	41643
671	85034	41505
672	85202	41398
673	85309	41262
674	85442	41138
675	85559	41007
676	85717	40896
677	85834	40765
678	85962	40639
679	86119	40526
680	86239	40396
681	86366	40270
682	86488	40141
683	86610	40012
684	86777	39905
685	86929	39789
686	87074	39671
687	87193	39541
688	87363	39434
689	87477	39301
690	87611	39177
691	87702	39035
692	87853	38919
693	87966	38786
694	88094	38659
695	88170	38511
696	88305	38388
697	88397	38246
698	88565	38137
699	88684	38007
700	88820	37885
701	88931	37751
702	89047	37620
703	89175	37494
704	89309	37370
705	89430	37241
706	89600	37132
707	89711	36999
708	89850	36878
709	89971	36748
710	90127	36633
711	90216	36492
712	90349	36368
713	90459	36234
714	90596	36111
715	90737	35991
716	90864	35864
717	90959	35724
718	91078	35595
719	91215	35472
720	91373	35358
721	91524	35240
722	91670	35121
723	91794	34993
724	91925	34868
725	92045	34738
726	92193	34620
727	92283	34479
728	92435	34362
729	92538	34226
730	92690	34109
731	92823	33984
732	92979	33868
733	93093	33736
734	93248	33620
735	93361	33488
736	93500	33365
737	93604	33230
738	93773	33119
