iter	Logloss
0	0.6183748376
1	0.5617699541
2	0.5203530794
3	0.4859710254
4	0.4627324576
5	0.4398537923
6	0.4258707104
7	0.4135791244
8	0.4027024745
9	0.3937125636
10	0.3883154061
11	0.3829291691
12	0.3777786832
13	0.3733077478
14	0.3685468788
15	0.3648483245
16	0.3620045557
17	0.3596052898
18	0.3568455601
19	0.3551332641
20	0.3531536187
21	0.3508463615
22	0.3492217589
23	0.347584866
24	0.3460499461
25	0.3447530362
26	0.3436617306
27	0.3414491207
28	0.3396687396
29	0.3385297928
30	0.3372216143
31	0.3360188987
32	0.3346401784
33	0.3335353526
34	0.3326098369
35	0.3316479606
36	0.3306020365
37	0.3294427545
38	0.3285613299
39	0.3275256724
40	0.3260116705
41	0.3246738423
42	0.3235195851
43	0.3225816342
44	0.3214300469
45	0.3206209033
46	0.3196788552
47	0.3188083754
48	0.3180598475
49	0.3171526565
50	0.3163362969
51	0.3156475815
52	0.3151572237
53	0.3145557793
54	0.3137269555
55	0.31310142
56	0.3125415725
57	0.3119715985
58	0.3113352434
59	0.3106911616
60	0.3099548377
61	0.309005801
62	0.3083325615
63	0.3078290912
64	0.307279093
65	0.3065134288
66	0.3057254536
67	0.3052191423
68	0.3048879041
69	0.3044584315
70	0.3037647527
71	0.3032160542
72	0.3027291898
73	0.3018099161
74	0.3011974762
75	0.3005568702
76	0.300173071
77	0.2997515583
78	0.2990711699
79	0.2985877802
80	0.2979511475
81	0.2973554499
82	0.2968647193
83	0.2961881739
84	0.2957562614
85	0.2951448647
86	0.294681818
87	0.2938939784
88	0.2932246509
89	0.292662228
90	0.2919325581
91	0.2915590228
92	0.2909774664
93	0.290735445
94	0.2904417482
95	0.2901473172
96	0.2898906962
97	0.2893892991
98	0.2888815849
99	0.2884213723
100	0.2880102911
101	0.2877325073
102	0.2874816382
103	0.2870843548
104	0.2866426107
105	0.2863178323
106	0.2860310666
107	0.285128621
108	0.2848398664
109	0.2844088682
110	0.2841660847
111	0.283883861
112	0.2835614772
113	0.2834034503
114	0.2828616796
115	0.2825880982
116	0.2821381935
117	0.2817149364
118	0.2813818704
119	0.2811323447
120	0.2807542998
121	0.2805280843
122	0.2801873101
123	0.27990869
124	0.2794902915
125	0.2792007112
126	0.2789312817
127	0.2786477188
128	0.2782991546
129	0.2780035663
130	0.2778153126
131	0.277597433
132	0.2773927806
133	0.2771398973
134	0.276948201
135	0.2766062207
136	0.2763483867
137	0.276037047
138	0.2755989678
139	0.2754171426
140	0.2751960952
141	0.2749080809
142	0.2747172625
143	0.2745114327
144	0.2742356837
145	0.2738462176
146	0.273677392
147	0.273539787
148	0.2733395091
149	0.2731507313
150	0.2729419135
151	0.2727143797
152	0.2724849651
153	0.272312031
154	0.2721350914
155	0.271823626
156	0.2714730128
157	0.271267357
158	0.2708828565
159	0.270729984
160	0.2705261243
161	0.2703871007
162	0.2701759986
163	0.2700258385
164	0.2698341772
165	0.2696161798
166	0.2694763851
167	0.2693197309
168	0.2691360297
169	0.2688419414
170	0.2686800937
171	0.268322787
172	0.2681719129
173	0.2679404793
174	0.2677163574
175	0.2675697757
176	0.2674772252
177	0.2672157178
178	0.2670574795
179	0.2669393058
180	0.2667679397
181	0.2664685963
182	0.2663314033
183	0.2662240166
184	0.2661103659
185	0.2658661526
186	0.2657538032
187	0.2655215294
188	0.2653758647
189	0.2652013358
190	0.2650098778
191	0.2648816843
192	0.2647732613
193	0.2646459588
194	0.2645403102
195	0.264401687
196	0.2642838511
197	0.2640205331
198	0.2638610611
199	0.2637456556
200	0.263649599
201	0.263483322
202	0.2633575574
203	0.2631976598
204	0.2630966106
205	0.262957752
206	0.2628113006
207	0.2627138855
208	0.2625781522
209	0.2624214324
210	0.2622337698
211	0.2621009353
212	0.2619652147
213	0.2618358273
214	0.2617266759
215	0.2615598047
216	0.2615078018
217	0.2612646783
218	0.2611801738
219	0.2610658359
220	0.2609490328
221	0.2608698702
222	0.2607335172
223	0.2606786155
224	0.2605507467
225	0.2602967474
226	0.2601187609
227	0.2600274773
228	0.2598909197
229	0.2597856823
230	0.2596836926
231	0.2595191638
232	0.2594772901
233	0.2593904955
234	0.2593452234
235	0.2592628553
236	0.2591194341
237	0.2590575434
238	0.2589990471
239	0.2588769737
240	0.2587788671
241	0.2586901905
242	0.2586128723
243	0.2585065916
244	0.2582790475
245	0.2582215898
246	0.2581396611
247	0.2580126292
248	0.2579247202
249	0.2577954097
250	0.257670388
251	0.2575322106
252	0.2574483011
253	0.2573658928
254	0.2572619779
255	0.2571527871
256	0.2570821982
257	0.2569797033
258	0.2568823376
259	0.2567659611
260	0.2565987935
261	0.2565112714
262	0.2563683157
263	0.2562611526
264	0.2561616411
265	0.2560510596
266	0.2558965746
267	0.2557797429
268	0.2557318001
269	0.2556510907
270	0.2555398706
271	0.2554242143
272	0.255303034
273	0.2552119182
274	0.2551476261
275	0.2551059414
276	0.2549652441
277	0.2548888826
278	0.254774493
279	0.2546967343
280	0.2545182831
281	0.2543338684
282	0.2542910116
283	0.2542664275
284	0.2541991526
285	0.254074705
286	0.2539570969
287	0.2538382915
288	0.2537962193
289	0.2537227308
290	0.2536326708
291	0.2535033625
292	0.2534059561
293	0.2533283962
294	0.2532295808
295	0.2531685787
296	0.2531123251
297	0.2530245243
298	0.2529096526
299	0.2528365745
300	0.2527349001
301	0.2526543617
302	0.2525486414
303	0.2525077376
304	0.2524216509
305	0.252338847
306	0.252267311
307	0.2521483496
308	0.2520370574
309	0.2518423628
310	0.2517506052
311	0.2516865047
312	0.2515351434
313	0.2514894648
314	0.2513966605
315	0.2512969519
316	0.2512160921
317	0.2511591484
318	0.2510457784
319	0.2509991666
320	0.2508867062
321	0.2508190231
322	0.2507634117
323	0.2506758241
324	0.2506363011
325	0.2505312852
326	0.2504842566
327	0.2503472813
328	0.2502531553
329	0.2502012452
330	0.2501049477
331	0.2500329471
332	0.2499626319
333	0.2499109321
334	0.249862342
335	0.2497725845
336	0.249731056
337	0.2496024387
338	0.2495313254
339	0.2494847141
340	0.2494075563
341	0.2493376664
342	0.2492597546
343	0.2492061521
344	0.2491475078
345	0.2490966083
346	0.2490657252
347	0.2490391363
348	0.2489450032
349	0.2488934992
350	0.248838543
351	0.2487989066
352	0.2487131737
353	0.248656931
354	0.2485472613
355	0.2485227274
356	0.2484731368
357	0.2483924176
358	0.2482816959
359	0.2481726031
360	0.2481240877
361	0.24809152
362	0.2480062164
363	0.2479830424
364	0.2479154114
365	0.247840022
366	0.2477953277
367	0.2477471293
368	0.2477230743
369	0.2476811367
370	0.2476486165
371	0.2475634103
372	0.2474995534
373	0.2474659453
374	0.2474007379
375	0.2473582215
376	0.2472912669
377	0.2472334981
378	0.2471584838
379	0.2471233203
380	0.2470851868
381	0.2470306107
382	0.246964809
383	0.2469112884
384	0.2468645108
385	0.2468305431
386	0.2467281015
387	0.2466368802
